#meta  sampleObjType=ClassifiedHtSample moduleName=htMLsample
knownClassName|ID|curationState|studytype|experimenttype|modification_date|titleLength|descriptionLength|title|description
Yes|GSE3129|Done|WT vs. Mutant|transcription profiling by array|2018-11-13|130|537|Transcription profiling of livers from aged and young Snell dwarf mice and their wild type controls to identify genetic signatures|To compare and contrast genetic signatures from livers of young and aged Snell dwarf mice with their wild type controls. SUBMITTER_CITATION: W. H. Boylston, James H. DeFord, John Papaconstantinou (2006) Identification of longevity-associated genes in long-lived Snell and Ames dwarf mice Age 28:125-144 Experiment Overall Design: 25 micrograms of liver RNA was isolated from each of 6 aged (3 dwarf, 3 wild type) and 8 young (4 dwarf, 4 wild type) mice for use in hybridization of Affymetrix gene chips according to Affymetrix protocols. .. Pit-1 mutant (Snell) resulting in long lived dwarf pheontype;  Wild Type Control for Pit-1 mutant (Snell) resulting in long lived dwarf pheontype;  total RNA;  liver;  10090;  Mus musculus;
Yes|GSE4612|Done|WT vs. Mutant|transcription profiling by array|2018-11-14|207|967|Transcription profiling of MDR2 knockout mice vs heterozygotes sampled at multiple time points in the early stages of liver carcinogenesis to identify the molecular mechanisms of HCC initiation and promotion|We studied the molecular mechanisms of hepatocellular carcinoma (HCC) initiation and promotion using the Mdr2-knockout (Mdr2-KO) mice at pre-cancerous stages of liver disease. These mice lack the liver-specific P-glycoprotein responsible for phosphatidylcholine transport across the canalicular membrane. Portal inflammation ensues at an early age followed by the development of HCC between the ages of 12 and 15 months. Liver tissue samples of Mdr2-KO and control Mdr2-heterozygotes mice aged 3 and 12 months, were subjected to histological, biochemical and gene expression profiling analysis using Affymetrix Mouse Genome Array. The RNA samples from Mdr2-KO and control heterozygous mice aged 3 and 12M (3 males in each experimental group) were subjected to genome scale gene expression profiling with Affymetrix Mouse Array. The gene expression values were extracted with the help of MAS 5.0 software, and analyzed by cluster analysis, and by fold change filtering .. 12 month;  3 month;  Mdr2-KO heterozygous mouse;  Mdr2-KO homozygous mouse;  total RNA;  Mdr2-KO heterozygous mouse, 12 month old mouse, liver sample;  Mdr2-KO heterozygous mouse, 3 month old mouse, liver sample;  Mdr2-KO homozygous mouse, 12 month old mouse, liver sample;  Mdr2-KO homozygous mouse, 3 month old mouse, liver sample;  10090;  Mus musculus;
Yes|GSE1363|Done|WT vs. Mutant|transcription profiling by array|2017-02-17|110|602|Transcription profiling of mouse lung from T1 alpha (-/-) vs. wild type at fetal and term developmental stages|We compared gene expression in T1alpha (-/-) lungs vs wild type at dpc 18.5 when the phenotype is moderate and at term when the phenotype is more severe. Lungs present narrow and irregular alveolar spaces, thicker mesenchyme, reduced number of attenuated type I cells, normal numbers of type II cells and secreted surfactant. At term, but not a dpc 18.5, there is increased proliferation of distal cells. We compared gene expression of T1alpha null mutant lungs to wild type lungs at dpc 18.5. The mutant phenotype at this developmental stage is moderate but the alveolar sacs are narrower than normal. .. none;  total RNA;  T1alpha (-/-) fetal lung dpc 18.5;  T1alpha (-/-) lung at birth (term);  Wild type  lung at birth (term);  Wild type fetal lung dpc 18.5;  10090;  Mus musculus;
Yes|GSE6443|Done|WT vs. Mutant|transcription profiling by array|2017-05-12|177|1579|Transcription profiling of jejunums from wild type and Klf9-/- mice to investigate the involvement of Klf9 in small intestine crypt-villus cell renewal and lineage determination|Kruppel-like factor 9 (Klf9), a zinc-finger transcription factor, is implicated in the control of cell proliferation, cell differentiation and cell fate in brain and uterus.  Using Klf9 null mutant mice, we have investigated the involvement of Klf9 in small intestine crypt-villus cell renewal and lineage determination.  We report the predominant expression of Klf9 gene in small intestine smooth muscle (muscularis externa).  Jejunums null for Klf9 have shorter villi, reduced crypt stem/transit cell proliferation, and altered lineage determination as indicated by decreased and increased numbers of Goblet and Paneth cells, respectively.  A stimulatory role for Klf9 in villus cell migration was demonstrated by BrdU labeling.  Results suggest that Klf9 controls the elaboration, from small intestine smooth muscle, of molecular mediator(s) of crypt cell proliferation and lineage determination, and of villus cell migration.          Experiment Overall Design: Total RNA was extracted in parallel from the jejunums of five WT and five Klf9-/- male mice (PND 30) using TRIzol reagent (Invitrogen, Carlsbad, CA).  Conversion of each RNA preparation to corresponding fragmented cRNA.  Fifteen ug of each cRNA was hybridized for 16 hours to an Affymetrix mouse 430A GeneChip.  Ten GeneChips (each corresponding to a single animal) were hybridized, washed and scanned in parallel.  Following the wash, signal amplification, and signal detection steps, GeneChips were scanned (Agilent GeneArray laser scanner) and the resultant images quantified using Affymetrix MAS 5.0 software. .. PND 30;  PND 30;  PND 30;  PND 30;  total RNA;  Mouse jejunum PND30;  Mouse jejunum, PND30;  10090;  Mus musculus;
Yes|GSE454|Done|WT vs. Mutant|transcription profiling by array|2018-10-22|148|151|Transcription profiling of livers from wild type, Clock mutant and Cry deficient C57BL/6 mice to characterize CLOCK-regulated circadian output genes|Molecular analysis of circadian rhythm in mice. Liver tissue of wildtype, Clock mutant and Cry deficient C57BL/6  8- to 10-week-old male mice examined. .. none;  total RNA;  liver;  10090;  Mus musculus;
Yes|GSE4120|Done|WT vs. Mutant|transcription profiling by array|2018-08-14|182|684|Transcription profiling of right ventricule from arrhythmogenic heterozygous plakoglobin deficient mice undergone endurance training to identify transcriptional responses to training|Endurance training accelerated development of right ventricular dysfunction and arrhythmias in plakoglobin+/- mice. Histology and electron microscopy did not identify right ventricular abnormalities. To identify differences in the transcriptional response to training gene expression profiling was performed. Experiment Overall Design: Gene expression analyses were performed in 5 pairs of plakoglobin (+/-) mice and their wildtype littermates. Four pairs of trained mice and one pair of old untrained mice were studied. Training induced expression of several hypertrophy associated genes such as ANP but no differences between the trained plakoglobin (+/-) mice and wt mice was seen. .. 10 months;  6 months;  female;  male;  plakoglobin (+/-);  wt;  total RNA;  trained plakoglobin (+/-);  trained wt;  untrained plakoglobin (+/-);  untrained wt;  129SV;  10090;  Mus musculus;  right ventricle;  training: mice were put into a 30 x 50, 20 cm deep container filled with warm (35 C) water equipped with a floating rotating wheel. Swimming duration was continously increased from 5 minutes to 90 minutes daily (6 times per week) swimming. Mice were stimulated to swim as sonn as they began floating to maximize activity in the water.;  training: mice were put into a 30 x 50, 20 cm deep container filled with warm water (35 C) equipped with a floating rotating wheel. Swimming duration was continously increased from 5 minutes to 90 minutes daily (6 times per week) swimming. Mice were stimulated to swim as soon as they began floating to maximize activity in the water.;  untrained;
Yes|GSE1912|Done|Baseline|transcription profiling by array|2018-08-06|111|155|Transcription profiling of mouse back skin during the hair growth cycle to identify hair cycle-associated genes|Identification of hair cycle-associated genes from time-course gene expression profile data by using replicate variance. Proc. Natl. Acad. Sci. USA. (2004) .. none;  total RNA;  whole RNA from back skin;  10090;  Mus musculus;
Yes|GSE3895|Done|WT vs. Mutant|transcription profiling by array|2017-05-11|148|1422|Transcription profiling of trigeminal ganglia of Brn3a knockout and wild type mice to determine the regulatory targets of transcription factor Brn3a|Mice lacking the POU-domain transcription factor Brn3a exhibit marked defects in sensory axon growth and abnormal sensory apoptosis. We have determined the regulatory targets of Brn3a in the developing trigeminal ganglion using microarray analysis of Brn3a mutant mice. These results show that Brn3 mediates the coordinated expression of neurotransmitter systems, ion channels, structural components of axons and inter- and intracellular signaling systems. Loss of Brn3a also results in the ectopic expression of transcription factors normally detected in earlier developmental stages and in other areas of the nervous system. Target gene expression is normal in heterozygous mice, consistent with prior work showing that autoregulation by Brn3a results in gene dosage compensation. Detailed examination of the expression of several of these downstream genes reveals that the regulatory role of Brn3a in the trigeminal ganglion appears to be conserved in more posterior sensory ganglia but not in the CNS neurons that express this factor. Experiment Overall Design: Microarrays used to compare the patterns of gene expression in the trigeminal ganglia of Brn3a knockout and wild-type mice.  Embryonic day 13.5 (E13.5) was chosen because at this point in development mutant mice exhibit major defects in sensory axon growth, but have yet to undergo the period of extensive sensory neuron death associated with later stages. .. Brn3a heterozygote trigeminal ganglia pooled from e13.5 mouse embryos.;  Brn3a knockout trigeminal ganglia pooled from e13.5 mouse embryos.;  Brn3a mutant trigeminal ganglia pooled from e13.5 mouse embryos.;  Brn3a wildtype trigeminal ganglia pooled from e13.5 mouse embryos.;  total RNA;  e13.5 Trigeminal Ganglion;  10090;  Mus musculus;
Yes|GSE3544|Done|WT vs. Mutant|transcription profiling by array|2017-09-14|148|212|Transcription profiling of pancreatic islets in Tcf1 knock out mice and wild type mice to understand the effects of Tcf1 knockout on gene expression|Expression profiling of pancreatic islets in Tcf1 knock out mice. Experiment Overall Design: two biological replicates per condition; two conditions are WT and Tcf1 KO mice; platforms are Affy MG-U74A and B array .. Isolated pancreatic islets by collagenase digestion and ficoll gradient centrifugation;  total RNA;  Tcf1 knock out pancreatic islets;  Tcf1 knock-out pancreatic islets;  pancreatic islets;  wild type pancreatic islets;  10090;  Mus musculus;
Yes|GSE1749|Done|Baseline|transcription profiling by array|2018-10-24|106|1430|Transcription profiling of mouse embryo to assess gene expression during preimplantation mouse development|Studies using low-resolution methods to assess gene expression during preimplantation mouse development indicate that changes in gene expression either precede or occur concomitantly with the major morphological transitions, that is, conversion of the oocyte to totipotent 2-cell blastomeres, compaction, and blastocyst formation. Using microarrays, we characterized global changes in gene expression and used Expression Analysis Systematic Explorer (EASE) to identify biological and molecular processes that accompany and likely underlie these transitions. The analysis confirmed previously described processes or events, but more important, EASE revealed new insights. Response to DNA damage and DNA repair genes are overrepresented in the oocyte compared to 1-cell through blastocyst stages and may reflect the oocyte's response to selective pressures to insure genomic integrity; fertilization results in changes in the transcript profile in the 1-cell embryo that are far greater than previously recognized; and genome activation during 2-cell stage may not be as global and promiscuous as previously proposed, but rather far more selective, with genes involved in transcription and RNA processing being preferentially expressed. These results validate this hypothesis-generating approach by identifying genes involved in critical biological processes that can be the subject of a more traditional hypothesis-driven approach. .. none;  total RNA;  preimplantation mouse embryo;  10090;  Mus musculus;
Yes|GSE1624|Done|Baseline|transcription profiling by array|2017-04-19|55|76|Transcription profiling of mouse fetal orofacial tissue|Developmental gene expression profiling of mammalian, fetal orofacial tissue .. none;  total RNA;  embryonic orofacial murine tissue;  10090;  Mus musculus;
Yes|GSE2198|Done|WT vs. Mutant|transcription profiling by array|2019-02-18|153|1097|Transcription profiling of muscles from mice with genetically modified muscle glycogen content to study the impact of glycogen content on gene expression|Anterior tibialis removed from 3-month old muscle glycogen synthase WT or knockout mouse. RNA was extracted using GibcoBRL TRIzol Reagent and a Quiagen RNeasy kit. Targets were produced using standard Affymetrix procedures from about 5ug of total RNA. GSM40057-GSM40063 AND GSM40956. Liver removed from 3-month old muscle glycogen synthase WT or knockout mouse. RNA was extracted using GibcoBRL TRIzol Reagent and a Quiagen RNeasy kit. Targets were produced using standard Affymetrix procedures from about 10ug of total RNA. GSM40064-GSM40071. Medial gastrocnemius removed from 3-month old muscle glycogen synthase WT or knockout mouse. RNA was extracted using GibcoBRL TRIzol Reagent and a Quiagen RNeasy kit. Targets were produced using standard Affymetrix procedures from about 5ug of total RNA. GSM40072-GSM40079. Medial gastrocnemius removed from 8-month old muscle glycogen synthase WT or overexpressing mouse. RNA was extracted using GibcoBRL TRIzol Reagent and a Quiagen RNeasy kit. Targets were produced using standard Affymetrix procedures from about 5ug of total RNA.  GSM40080-GSM40089 .. none;  total RNA;  Anterior tibialis;  Liver;  medial gastrocnemius;  10090;  Mus musculus;
Yes|GSE3327|Done|Baseline|transcription profiling by array|2017-02-22|123|138|Transcription profiling of different regions of mouse brain to study adult mouse gene expression patterns in common strains|Adult mouse gene expression patterns in common strains. Experiment Overall Design: six mouse strains and seven brain regions were analyzed .. Wild type 8 wk old male;  total RNA;  amygdala;  bed nucleus of the stria terminalis;  cingulate cortex;  hippocampus;  hypothalamus;  periaqueductal gray;  pituitary gland;  10090;  Mus musculus;
Yes|GSE2507|Done|WT vs. Mutant|transcription profiling by array|2017-04-18|93|796|Transcription profiling by array of skeletal and cardiac muscle from dysferlin-deficient mice|Dysferlin is expressed in skeletal and cardiac muscle. However, dysferlin deficiency, namely limb girdle muscular dystrophy 2B (LGMD2B) and Myoshi myopathy, results in skeletal muscle weakness and spares the heart. This dichotomy could be caused by differential regulation of protective mechanisms. Therefore, we compared intra-individual mRNA expression profiles between cardiac and skeletal muscle in dysferlin-deficient SJL/J mice  and normal C57BL/6 mice. Experiment Overall Design: 20 chips were analyzed. They represent 4 groups of 5 replicates each. Experiment Overall Design: The 4 groups are cardiac (LV) and skeletal muscle of normal and dysferlin deficient mice. Experiment Overall Design: Tissues from normal mice are the controls in comparison to tissues of dysferlin deficient mice. .. none;  total RNA;  cardiac muscle, left ventricle;  skeletal muscle, quadriceps;  10090;  Mus musculus;
Yes|GSE2362|Done|WT vs. Mutant|transcription profiling by array|2017-06-20|254|1755|Transcription profiling of mouse models with liver-specific deletion or global hypomorphic expression of the NADPH-cytochrome P450 reductase gene to study molecular mechanisms for the regulation of microsomal cytochrome P450 and the fatty liver phenotype|NADPH-cytochrome P450 reductase (CPR) is important for the functions of many enzymes, such as microsomal cytochrome P450 (P450) monooxygenases and heme oxygenases. Two mouse models with deficient CPR expression in adults were recently generated in this laboratory: liver-Cpr-null (with liver-specific Cpr deletion) (Gu et al., J. Biol. Chem., 278, 25895-25901, 2003) and Cpr-low (with reduced CPR expression in all organs examined) (Wu et al. J. Pharmacol. Expt. Ther. 312, 35-43, 2005). The phenotypes included a reduced serum cholesterol level and an induction of hepatic P450 in both models, and hepatomegaly and fatty liver in the liver-Cpr-null mouse alone. Our aim was to identify hepatic gene-expression changes related to these phenotypes. Cpr-lox mice, which have normal CPR expression (Wu et al., Genesis, 36, 177-181, 2003.), were used as the control in microarray analysis. A detailed analysis of the gene-expression changes in lipid metabolism and transport pathways revealed potential mechanisms, such as an increased activation of constitutive androstane receptor (CAR) and a decreased activation of peroxisomal proliferators activated receptor alpha (PPARgamma) by precursors of cholesterol biosynthesis, that underlie common changes (e.g., induction of multiple P450s and inhibition of genes for fatty acids metabolism) in response to CPR-loss in the two mouse models. Moreover, we also uncovered model-specific gene-expression changes, such as the induction of a lipid translocase (CD36 antigen) and the suppression of carnitine O-palmitoyltransferase 1 (CPT1a) and acyl-CoA synthetase long-chain family member 1 (Acsl1), that are potentially responsible for the severe hepatic lipidosis observed in liver-Cpr-null, but not Cpr-low mice. .. none;  total RNA;  Murine liver;  10090;  Mus musculus;
Yes|GSE4034|Done|Baseline|transcription profiling by array|2019-04-17|224|3608|Transcription profiling of two mouse lines displaying different phenotypes on fear conditioning to identify identify differences in gene expression in two key brain regions: amygdala and hippocampus (related set E-GEOD-4035)|Fear conditioning (FC) is a behavioral paradigm that measures an animal's ability to learn fear related information.  FC is measured by pairing a mild foot-shock with the surroundings in which the shock was recieved.  Upon being placed back in the context, mice exhibit freezing behavior, which is a species-specific response to fear.  We have previously used selective breeding to produce lines of mice with high or low levels of freezing behavior.  This experiment is a replication of a previous experiment that produced lines of mice with high or low levels of freezing behavior.  These lines derive from different progenitor mouse strains.  We are able to identify alleles that govern the genetic variability for FC by using chromosomal markers in these selected lines.  Using microarrays, we will identify differences in gene expression in two key brain regions: amygdala and hippocampus.  Gene expression differences and data regarding chromosomal regions involved in the behavior will be compared to identify particular genes that are both differentially expressed and whose expression is governed by alleles that fall into critical chromosomal regions.,We will compare gene expresion in the amygdala and hippocampus (brain regions known to be relevant to fear behavior) from the these two lines of mice and to the those in the previous experiment.  Bayesian statistics will be used in an effort to identify gene expression that affects fear behavior.,We hypothesize that selection has acted in part by changing the frequency of alleles that cause differential expression of key genes in the amygdala and hippocampus of our selected lines.  Slective breeding changes the frequency of trait relevand (FC) alleles.  A relevant allele is expected to increas in one selected line and decrease in the oppositely selected line.  Some trait relevant alleles are expected to cause changes in the level of expression at particular genes.,Amygdala and hippocampus will be rapidly dissected out of experimentally naive mice from each line. Naive  mice will be used for expression studies since the behavior of the mice in the FC test can be reliably anticipated due to their lineage. We have practiced these procedures, and can accurately and reproducibly remove these regions in less than 5 minutes. Different mice will be used to collect each brain region, since the dissection of hippocampus disrupts the removal of amygdala. We will collect enough samples from each region to accommodate a total of 6 microarrays per brain region, per line, thus we will use a total of 24 microarrays. We anticipate that a single brain region will be sufficient to for a microarray. However, we propose to utilize three samples per microarray, because this will reduce variability due to environmental factors and due to slight variability in our dissection procedures. Once this tissue is removed, we will isolate RNA for shipment to the Microarray consortium. We will also collect spleens from each subject as a source of genomic DNA, in order to permit direct comparison of genotype and expression phenotypes. Once we have the results of the microarray analysis, we use WebQTL.org to identify the chromosomal locations of alleles that are know to influence the expression of genes for which we have found differential expression. We will then superimpose this information on trait relevant chromosomal regions identified from our selected lines. This will allow us to rapidly identify genes which may account for genetic variability in FC due to differential expression. Such genes will then be subjected to further study. .. none;  total RNA;  brain, amygdala;  brain, hippocampus;  10090;  Mus musculus;
Yes|GSE2867|Done|WT vs. Mutant|transcription profiling by array|2018-10-24|119|2314|Transcription profiling of mouse model for spinocerebellar ataxia 1 vs, wild type littermates sampled at 4 and 11 weeks|A number of human neurodegenerative diseases result from the expansion of a glutamine repeat within the disease-causing protein. Spinocerebellar ataxia type1 is one such disease, caused by expansion of a polyglutamine tract in the novel protein ataxin-1. To faithfully model SCA1 in the mouse, we generated  knock-in mice carrying 154 CAG repeats in the mouse Sca1 locus. These mice reproduced many aspects of the human disease. Despite ubiquitous expression of the mutant protein, they developed slowly progressive selective neurodegeneration , which is most distinct in Purkinje cells and spinal cord. Alterations in gene expression have been proposed to be involved in the pathogenesis of polyglutamine disease including SCA1, but the changes of gene expression in an authentic disease model have not been characterized. We believe that knowledge of these genes will give insight into the pathophysiology of SCA1 and may ultimately be relevant to the treatment of SCA1.,We will determine gene expression patterns in the cerebellum and forebrain at three different time points.,We propose that the genes whose expression is affected  by mutant ataxin-1 expression are effectors for neuronal dysfunction and neuronal degeneration in the knock-in mice. We also hypothesize the difference in the expression levels of these genes accounts for selective vulnerability of neurons. We will examine three time points: 4 weeks, 11 weeks, and 20 weeks of age. We have shown that the mice developed motor incoordination as revealed  by rotating rod test as early as 5 weeks of age but it was not until 10 weeks that they start showing clear  neurological  phenotype such as clasping.  At each point, we will compare the pattern between the mutant and wild-type littermate. Animals will be prepared and sacrificed by a standard procedure. Cerebellum and spinal cord are the most affected areas whereas forebrain shows less neurodegeneration. Tissue will be rapidly dissected from cerebellum and forebrain, frozen in liquid nitrogen, and stored at -80 C until analysis. Tissues will be sent to the centers (as opposed to RNA). We will be providing 9 tissue samples from three litters for each time point to mitigate any expression differences resulting from subtle differences of procedure or environment where the mice grow. .. none;  total RNA;  brain, cerebellum;  brain, forebrain;  10090;  Mus musculus;
Yes|GSE22608|Done|WT vs. Mutant|transcription profiling by array|2019-01-11|116|420|Changes in Hepatic Gene Expression upon Oral Administration of Taurine-Conjugated Ursodeoxycholic Acid in ob/ob Mice|We examined the effect of oral TUDCA treatment on hepatic steatosis and associated changes in hepatic gene expression in ob/ob mice. We administered TUDCA to ob/ob mice at a dose of 500 mg/kg twice a day by gastric gavage for 3 weeks. Body weight, glucose homeostasis, endoplasmic reticulum (ER) stress, and hepatic gene expression were examined in comparison with control ob/ob mice and normal littermate C57BL/6J mice. .. TUDCA;  control;  ob/ob;  wildtype;  total RNA;  liver of C57BL/6J mice;  liver of TUDCA-treated ob/ob mice;  liver of ob/ob mice;  B6.V-Lepob/J;  C57BL/6J;  10090;  Mus musculus;  liver;  The ob/ob mice were given TUDCA (Tokyo Tanabe, Tokyo, Japan) at a dose of 500 mg/kg twice a day (8:00 AM and 8:00 PM) by gastric gavage for 3 weeks (OB-TUDCA group, n = 3). We administered tap water to control ob/ob mice (OB-control group, n = 3) and normal control C57BL/6J mice (N-control group, n = 3) twice a day by gastric gavage for 3 weeks.;
