#meta  sampleObjType=ClassifiedHtSample moduleName=htMLsample
knownClassName|ID|curationState|studytype|experimenttype|modification_date|titleLength|descriptionLength|title|description
Yes|GSE4612|Done|WT vs. Mutant|transcription profiling by array|2018-11-14|207|967|transcript profil of mdr2 __knockout __mice vs heterozygot sampl at multipl time point in the earli stage of liver carcinogenesi to identifi the molecular mechan of hcc initi and promot|we studi the molecular mechan of hepatocellular __tumor hcc initi and promot use the mdr2 __knockout mdr2 __knockout __mice at pre cancer stage of liver diseas these __mice lack the liver specif glycoprotein respons for phosphatidylcholin transport across the canalicular membran portal inflamm ensu at an earli __mouse_ag follow by the develop of hcc between the __mouse_ag of and month liver tissu sampl of mdr2 __knockout and control mdr2 heterozygot __mice age and month were subject to histolog biochem and gene express profil analysi use affymetrix __mice genom array the rna sampl from mdr2 __knockout and control __genotyp __mice age and male in each experiment group were subject to genom scale gene express profil with affymetrix __mice array the gene express valu were extract with the help of mas softwar and analyz by cluster analysi and by fold chang filter month month mdr2 __knockout __genotyp __mice mdr2 __knockout __genotyp __mice total rna mdr2 __knockout __genotyp __mice month old __mice liver sampl mdr2 __knockout __genotyp __mice month old __mice liver sampl mdr2 __knockout __genotyp __mice month old __mice liver sampl mdr2 __knockout __genotyp __mice month old __mice liver sampl mus musculus
Yes|GSE1363|Done|WT vs. Mutant|transcription profiling by array|2017-02-17|110|602|transcript profil of __mice lung from t1 alpha __genotyp vs __genotyp at fetal and term development stage|we compar gene express in t1alpha __genotyp lung vs __genotyp at __mouse_ag when the phenotyp is moder and at term when the phenotyp is more sever lung present narrow and irregular alveolar space thicker mesenchym reduc number of attenu type cell normal number of type ii cell and secret surfact at term but not __mouse_ag there is increas prolifer of distal cell we compar gene express of t1alpha null __genotyp lung to __genotyp lung at __mouse_ag the __genotyp phenotyp at this development stage is moder but the alveolar sac are narrow than normal none total rna t1alpha __genotyp fetal lung __mouse_ag t1alpha __genotyp lung at birth term __genotyp lung at birth term __genotyp fetal lung __mouse_ag mus musculus
Yes|GSE6443|Done|WT vs. Mutant|transcription profiling by array|2017-05-12|177|1579|transcript profil of jejunum from __genotyp and klf9 __genotyp __mice to investig the involv of klf9 in small intestin crypt villus cell renew and lineag determin|kruppel like factor klf9 zinc finger transcript factor is implic in the control of cell prolifer cell differenti and cell fate in brain and uterus use klf9 null __genotyp __mice we have investig the involv of klf9 in small intestin crypt villus cell renew and lineag determin we report the predomin express of klf9 gene in small intestin smooth muscl musculari externa jejunum null for klf9 have shorter villi reduc crypt stem transit cell prolifer and alter lineag determin as indic by decreas and increas number of goblet and paneth cell respect stimulatori role for klf9 in villus cell migrat was demonstr by brdu label result suggest that klf9 control the elabor from small intestin smooth muscl of molecular mediat of crypt cell prolifer and lineag determin and of villus cell migrat experi overal design total rna was extract in parallel from the jejunum of five __genotyp and five klf9 __genotyp male __mice pnd use trizol reagent invitrogen carlsbad ca convers of each rna prepar to correspond fragment crna fifteen ug of each crna was hybrid for hour to an affymetrix __mice genechip ten genechip each correspond to singl anim were hybrid wash and scan in parallel follow the wash signal amplif and signal detect step genechip were scan agil genearray laser scanner and the result imag quantifi use affymetrix mas softwar pnd pnd pnd pnd total rna __mice jejunum pnd30 __mice jejunum pnd30 mus musculus
Yes|GSE454|Done|WT vs. Mutant|transcription profiling by array|2018-10-22|148|151|transcript profil of liver from __genotyp clock __genotyp and cri defici c57bl __mice to character clock regul circadian output gene|molecular analysi of circadian rhythm in __mice liver tissu of __genotyp clock __genotyp and cri defici c57bl to week old male __mice examin none total rna liver mus musculus
Yes|GSE4120|Done|WT vs. Mutant|transcription profiling by array|2018-08-14|182|684|transcript profil of right ventricul from arrhythmogen __genotyp plakoglobin defici __mice undergon endur train to identifi transcript respons to train|endur train acceler develop of right ventricular dysfunct and arrhythmia in plakoglobin __genotyp __mice histolog and electron microscopi did not identifi right ventricular abnorm to identifi differ in the transcript respons to train gene express profil was perform experi overal design gene express analys were perform in pair of plakoglobin __genotyp __mice and their __genotyp litterm four pair of train __mice and one pair of old untrain __mice were studi train induc express of sever hypertrophi associ gene such as anp but no differ between the train plakoglobin __genotyp __mice and __genotyp __mice was seen month month femal male plakoglobin __genotyp __genotyp total rna train plakoglobin __genotyp train __genotyp untrain plakoglobin __genotyp untrain __genotyp mus musculus right ventricl train __mice were put into cm deep contain fill with warm water equip with float rotat wheel swim durat was contin increas from minut to minut daili time per week swim __mice were stimul to swim as sonn as they began float to maxim activ in the water train __mice were put into cm deep contain fill with warm water equip with float rotat wheel swim durat was contin increas from minut to minut daili time per week swim __mice were stimul to swim as soon as they began float to maxim activ in the water untrain
Yes|GSE1912|Done|Baseline|transcription profiling by array|2018-08-06|111|155|transcript profil of __mice back skin dure the hair growth cycl to identifi hair cycl associ gene|identif of hair cycl associ gene from time cours gene express profil data by use replic varianc proc natl acad sci usa none total rna whole rna from back skin mus musculus
Yes|GSE3895|Done|WT vs. Mutant|transcription profiling by array|2017-05-11|148|1422|transcript profil of trigemin ganglia of brn3a __knockout and __genotyp __mice to determin the regulatori target of transcript factor brn3a|__mice lack the pou domain transcript factor brn3a exhibit mark defect in sensori axon growth and abnorm sensori apoptosi we have determin the regulatori target of brn3a in the develop trigemin ganglion use microarray analysi of brn3a __genotyp __mice these result show that brn3 mediat the coordin express of neurotransmitt system ion channel structur compon of axon and inter and intracellular signal system loss of brn3a also result in the ectop express of transcript factor normal detect in earlier development stage and in other area of the nervous system target gene express is normal in __genotyp __mice consist with prior work show that autoregul by brn3a result in gene dosag compens detail examin of the express of sever of these downstream gene reveal that the regulatori role of brn3a in the trigemin ganglion appear to be conserv in more posterior sensori ganglia but not in the cns neuron that express this factor experi overal design microarray use to compar the pattern of gene express in the trigemin ganglia of brn3a __knockout and __genotyp __mice __mouse_ag __mouse_ag was chosen becaus at this point in develop __genotyp __mice exhibit major defect in sensori axon growth but have yet to undergo the period of extens sensori neuron death associ with later stage brn3a __genotyp trigemin ganglia pool from __mouse_ag __mice embryo brn3a __knockout trigemin ganglia pool from __mouse_ag __mice embryo brn3a __genotyp trigemin ganglia pool from __mouse_ag __mice embryo brn3a __genotyp trigemin ganglia pool from __mouse_ag __mice embryo total rna __mouse_ag trigemin ganglion mus musculus
Yes|GSE3544|Done|WT vs. Mutant|transcription profiling by array|2017-09-14|148|212|transcript profil of pancreat islet in tcf1 __knockout __mice and __genotyp __mice to understand the effect of tcf1 __knockout on gene express|express profil of pancreat islet in tcf1 __knockout __mice experi overal design two biolog replic per condit two condit are __genotyp and tcf1 __knockout __mice platform are affi mg u74a and array isol pancreat islet by collagenas digest and ficol gradient centrifug total rna tcf1 __knockout pancreat islet tcf1 __knockout pancreat islet pancreat islet __genotyp pancreat islet mus musculus
Yes|GSE1749|Done|Baseline|transcription profiling by array|2018-10-24|106|1430|transcript profil of __mice embryo to assess gene express dure preimplant __mice develop|studi use low resolut method to assess gene express dure preimplant __mice develop indic that chang in gene express either preced or occur concomit with the major morpholog transit that is convers of the oocyt to totipot cell __mouse_ag compact and __mouse_ag format use microarray we character global chang in gene express and use express analysi systemat explor eas to identifi biolog and molecular process that accompani and like underli these transit the analysi confirm previous describ process or event but more import eas reveal new insight respons to dna damag and dna repair gene are overrepres in the oocyt compar to cell through __mouse_ag stage and may reflect the oocyt respons to select pressur to insur genom integr fertil result in chang in the transcript profil in the __mouse_ag that are far greater than previous recogn and genom activ dure __mouse_ag may not be as global and promiscu as previous propos but rather far more select with gene involv in transcript and rna process be preferenti express these result valid this hypothesi generat approach by identifi gene involv in critic biolog process that can be the subject of more tradit hypothesi driven approach none total rna preimplant __mice embryo mus musculus
Yes|GSE1624|Done|Baseline|transcription profiling by array|2017-04-19|55|76|transcript profil of __mice fetal orofaci tissu|development gene express profil of mammalian fetal orofaci tissu none total rna embryon orofaci __mice tissu mus musculus
Yes|GSE2198|Done|WT vs. Mutant|transcription profiling by array|2019-02-18|153|1097|transcript profil of muscl from __mice with genet modifi muscl glycogen content to studi the impact of glycogen content on gene express|anterior tibiali remov from month old muscl glycogen synthas __genotyp or __knockout __mice rna was extract use gibcobrl trizol reagent and quiagen rneasi kit target were produc use standard affymetrix procedur from about of total rna gsm40057 gsm40063 and gsm40956 liver remov from month old muscl glycogen synthas __genotyp or __knockout __mice rna was extract use gibcobrl trizol reagent and quiagen rneasi kit target were produc use standard affymetrix procedur from about of total rna gsm40064 gsm40071 medial gastrocnemius remov from month old muscl glycogen synthas __genotyp or __knockout __mice rna was extract use gibcobrl trizol reagent and quiagen rneasi kit target were produc use standard affymetrix procedur from about of total rna gsm40072 gsm40079 medial gastrocnemius remov from month old muscl glycogen synthas __genotyp or overexpress __mice rna was extract use gibcobrl trizol reagent and quiagen rneasi kit target were produc use standard affymetrix procedur from about of total rna gsm40080 gsm40089 none total rna anterior tibiali liver medial gastrocnemius mus musculus
Yes|GSE3327|Done|Baseline|transcription profiling by array|2017-02-22|123|138|transcript profil of differ region of __mice brain to studi __mouse_ag __mice gene express pattern in common strain|__mouse_ag __mice gene express pattern in common strain experi overal design six __mice strain and seven brain region were analyz __genotyp wk old male total rna amygdala bed nucleus of the stria terminali cingul cortex hippocampus hypothalamus periaqueduct gray pituitari gland mus musculus
Yes|GSE2507|Done|WT vs. Mutant|transcription profiling by array|2017-04-18|93|796|transcript profil by array of skelet and cardiac muscl from dysferlin defici __mice|dysferlin is express in skelet and cardiac muscl howev dysferlin defici name limb girdl muscular dystrophi lgmd2b and myoshi myopathi result in skelet muscl weak and spare the heart this dichotomi could be caus by differenti regul of protect mechan therefor we compar intra individu mrna express profil between cardiac and skelet muscl in dysferlin defici sjl __mice and normal c57bl __mice experi overal design chip were analyz they repres group of replic each experi overal design the group are cardiac lv and skelet muscl of normal and dysferlin defici __mice experi overal design tissu from normal __mice are the control in comparison to tissu of dysferlin defici __mice none total rna cardiac muscl left ventricl skelet muscl quadricep mus musculus
Yes|GSE2362|Done|WT vs. Mutant|transcription profiling by array|2017-06-20|254|1755|transcript profil of __mice model with liver specif delet or global hypomorph express of the nadph cytochrom p450 reductas gene to studi molecular mechan for the regul of microsom cytochrom p450 and the fatti liver phenotyp|nadph cytochrom p450 reductas cpr is import for the function of mani enzym such as microsom cytochrom p450 p450 monooxygenas and heme oxygenas two __mice model with defici cpr express in __mouse_ag were recent generat in this laboratori liver cpr null with liver specif cpr delet gu et al biol chem and cpr low with reduc cpr express in all organ examin wu et al pharmacol expt ther the phenotyp includ reduc serum cholesterol level and an induct of hepat p450 in both model and hepatomegali and fatti liver in the liver cpr null __mice alon our aim was to identifi hepat gene express chang relat to these phenotyp cpr lox __mice which have normal cpr express wu et al genesi were use as the control in microarray analysi detail analysi of the gene express chang in lipid metabol and transport pathway reveal potenti mechan such as an increas activ of constitut androstan receptor car and decreas activ of peroxisom prolifer activ receptor alpha ppargamma by precursor of cholesterol biosynthesi that underli common chang induct of multipl p450s and inhibit of gene for fatti acid metabol in respons to cpr loss in the two __mice model moreov we also uncov model specif gene express chang such as the induct of lipid translocas cd36 antigen and the suppress of carnitin palmitoyltransferas cpt1a and acyl coa synthetas long chain famili member acsl1 that are potenti respons for the sever hepat lipidosi observ in liver cpr null but not cpr low __mice none total rna __mice liver mus musculus
Yes|GSE4034|Done|Baseline|transcription profiling by array|2019-04-17|224|3608|transcript profil of two __mice line display differ phenotyp on fear condit to identifi identifi differ in gene express in two key brain region amygdala and hippocampus relat set geod|fear condit fc is behavior paradigm that measur an anim abil to learn fear relat inform fc is measur by pair mild foot shock with the surround in which the shock was reciev upon be place back in the context __mice exhibit freez behavior which is speci specif respons to fear we have previous use select breed to produc line of __mice with high or low level of freez behavior this experi is replic of previous experi that produc line of __mice with high or low level of freez behavior these line deriv from differ progenitor __mice strain we are abl to identifi allel that govern the genet variabl for fc by use chromosom marker in these select line use microarray we will identifi differ in gene express in two key brain region amygdala and hippocampus gene express differ and data regard chromosom region involv in the behavior will be compar to identifi particular gene that are both differenti express and whose express is govern by allel that fall into critic chromosom region we will compar gene expres in the amygdala and hippocampus brain region known to be relev to fear behavior from the these two line of __mice and to the those in the previous experi bayesian statist will be use in an effort to identifi gene express that affect fear behavior we hypothes that select has act in part by chang the frequenc of allel that caus differenti express of key gene in the amygdala and hippocampus of our select line slectiv breed chang the frequenc of trait relevand fc allel relev allel is expect to increa in one select line and decreas in the opposit select line some trait relev allel are expect to caus chang in the level of express at particular gene amygdala and hippocampus will be rapid dissect out of experiment naiv __mice from each line naiv __mice will be use for express studi sinc the behavior of the __mice in the fc test can be reliabl anticip due to their lineag we have practic these procedur and can accur and reproduc remov these region in less than minut differ __mice will be use to collect each brain region sinc the dissect of hippocampus disrupt the remov of amygdala we will collect enough sampl from each region to accommod total of microarray per brain region per line thus we will use total of microarray we anticip that singl brain region will be suffici to for microarray howev we propos to util three sampl per microarray becaus this will reduc variabl due to environment factor and due to slight variabl in our dissect procedur onc this tissu is remov we will isol rna for shipment to the microarray consortium we will also collect spleen from each subject as sourc of genom dna in order to permit direct comparison of genotyp and express phenotyp onc we have the result of the microarray analysi we use webqtl org to identifi the chromosom locat of allel that are know to influenc the express of gene for which we have found differenti express we will then superimpos this inform on trait relev chromosom region identifi from our select line this will allow us to rapid identifi gene which may account for genet variabl in fc due to differenti express such gene will then be subject to further studi none total rna brain amygdala brain hippocampus mus musculus
Yes|GSE2867|Done|WT vs. Mutant|transcription profiling by array|2018-10-24|119|2314|transcript profil of __mice model for spinocerebellar ataxia vs __genotyp litterm sampl at and week|number of human neurodegen diseas result from the expans of glutamin repeat within the diseas caus protein spinocerebellar ataxia type1 is one such diseas caus by expans of polyglutamin tract in the novel protein ataxin to faith model sca1 in the __mice we generat __knockin __mice carri cag repeat in the __mice sca1 locus these __mice reproduc mani aspect of the human diseas despit ubiquit express of the __genotyp protein they develop slowli progress select neurodegener which is most distinct in purkinj cell and spinal cord alter in gene express have been propos to be involv in the pathogenesi of polyglutamin diseas includ sca1 but the chang of gene express in an authent diseas model have not been character we believ that knowledg of these gene will give insight into the pathophysiolog of sca1 and may ultim be relev to the __treat of sca1 we will determin gene express pattern in the cerebellum and forebrain at three differ time point we propos that the gene whose express is affect by __genotyp ataxin express are effector for neuron dysfunct and neuron degener in the __knockin __mice we also hypothes the differ in the express level of these gene account for select vulner of neuron we will examin three time point week week and week of __mouse_ag we have shown that the __mice develop motor incoordin as reveal by rotat rod test as earli as week of __mouse_ag but it was not until week that they start show clear neurolog phenotyp such as clasp at each point we will compar the pattern between the __genotyp and __genotyp litterm anim will be prepar and sacrif by standard procedur cerebellum and spinal cord are the most affect area wherea forebrain show less neurodegener tissu will be rapid dissect from cerebellum and forebrain frozen in liquid nitrogen and store at until analysi tissu will be sent to the center as oppos to rna we will be provid tissu sampl from three litter for each time point to mitig ani express differ result from subtl differ of procedur or environ where the __mice grow none total rna brain cerebellum brain forebrain mus musculus
Yes|GSE22608|Done|WT vs. Mutant|transcription profiling by array|2019-01-11|116|420|chang in hepat gene express upon oral administr of taurin conjug ursodeoxychol acid in ob ob __mice|we examin the effect of oral tudca __treat on hepat steatosi and associ chang in hepat gene express in ob ob __mice we administ tudca to ob ob __mice at dose of mg kg twice day by gastric gavag for week bodi weight glucos homeostasi endoplasm reticulum er stress and hepat gene express were examin in comparison with control ob ob __mice and normal litterm c57bl __mice tudca control ob ob __genotyp total rna liver of c57bl __mice liver of tudca __treat ob ob __mice liver of ob ob __mice b6 lepob c57bl mus musculus liver the ob ob __mice were given tudca tokyo tanab tokyo japan at dose of mg kg twice day am and pm by gastric gavag for week ob tudca group we administ tap water to control ob ob __mice ob control group and normal control c57bl __mice control group twice day by gastric gavag for week
Yes|GSE10989|Done|WT vs. Mutant|transcription profiling by array|2019-04-05|92|868|express data of cystic renal epitheli tissu from __mice defici for fumar hydratas|fumar hydratas fh __genotyp caus hereditari leiomyomatosi and renal cell cancer hlrcc we have condit inactiv the __mice ortholog fh1 in renal tubular epitheli cell in order to generat an in vivo model of hlrcc fh1 __knockout __mice recapitul import aspect of hlrcc includ the develop of renal cyst that overexpress hypoxia induc factor alpha hifa and hif target gene we use microarray to detail the global programm of gene express under cyst develop in fh1 __knockout __mice and identifi distinct class of up regul gene dure this process keyword gene express comparison __genotyp vs __knockout renal epitheli tissu was macro dissect from fh1 __knockout __mice and sex match litter mate control diseas free anim for rna extract and hybrid on affymetrix microarray macro dissect renal cystic epitheli tissu from fh1 __knockout __mice macro dissect renal epitheli tissu from __genotyp litterm control total rna __mice kidney cystic epitheli tissu fh1 __knockout __mice __mice kidney __genotyp litterm control mus musculus
Yes|GSE24775|Done|Baseline|transcription profiling by array|2018-07-31|112|2588|genom wide express analysi of the __mice par tuberali pt under chronic short day and long day condit|live organ detect season chang in day length photoperiod and alter their physiolog function accord to fit season environment chang this photoperiod system is implic in season affect disord and the season associ symptom observ in bipolar diseas and schizophrenia thyroid stimul hormon beta subunit tshb induc in the par tuberali pt play key role in the pathway that regul anim photoperiod howev the upstream induc of tshb express remain unknown here we show that late night light stimul acut trigger the eya3 six1 pathway which direct induc tshb express use melatonin profici cba __mice which preserv the photoperiod tshb express respons we perform genom wide express analysi of the pt under chronic short day and long day condit these data comprehens identifi long day and short day gene and indic that late night light stimul induc long day gene we verifi this by advanc and extend the light period by hour which acut induc tshb express within one day in genom wide express analysi under this condit we search for candid upstream gene by look for express that preced tshb and identifi eya3 gene these result elucid the comprehens transcript photoperiod respons in the pt reveal the complex regul of tshb express and unexpect rapid respons to light chang in the mammalian photoperiod system __mice were separ into group one group was maintain under the short day condit light dark zt0 light on zt8 light off lux and the other was hous under long day condit light dark zt0 light on zt16 light off lux for week the pts of both group were retriev everi for day time point for each group start at zt0 for the experi perform dure the first day of the long day condit we appli two differ condit follow week under short day condit in one the light onset was advanc by hour advanc condit and in the other the dark period was delay by hour delay condit pts from both group were obtain everi for day start at the light on time light on for the advanc condit was zt16 as defin by the short day condit light on for the delay condit was zt0 we sampl __mice at each time point this whole procedur was repeat twice to obtain experiment replic week week long day week long day advanc long day delay short day male total rna long day week zt0 long day week zt12 long day week zt16 long day week zt20 long day week zt4 long day week zt8 long day advanc zt0 long day advanc zt12 long day advanc zt16 long day advanc zt20 long day advanc zt4 long day advanc zt8 long day delay zt0 long day delay zt12 long day delay zt16 long day delay zt20 long day delay zt4 long day delay zt8 short day zt0 short day zt12 short day zt16 short day zt20 short day zt4 short day zt8 cba mus musculus zt0 zt12 zt16 zt20 zt4 zt8 par tuberali slice mm thick of the brain of cba __mice were cut on __mice brain matrix neurosci tokyo and frozen the pt was punch out with microdissect needl gaug mm under stereomicroscop
Yes|GSE20880|Done|Baseline|transcription profiling by array|2018-02-26|80|2613|development microrna express profil of __mice embryon orofaci tissu|background orofaci develop is multifacet process involv precis spatio tempor express of panopli of gene microrna mirna constitut the largest famili of noncod rnas involv in gene silenc and repres critic regul of cell and tissu differenti microrna gene express profil is an effect mean of acquir novel and valuabl inform regard the express and regul of gene under the control of mirna involv in mammalian orofaci develop result to identifi differenti express mirna dure mammalian orofaci ontogenesi mirna express profil from gestat day gd and __mice orofaci tissu were compar util mirxplor microarray from miltenyi biotech gmbh taqmantm quantit real time pcr was util for valid of gene express chang cluster analysi of the microarray data was conduct with the clvalid packag and the upgma hierarch cluster method function relationship between select mirna were investig use ingenu pathway analysi express of over of the approxim __mice mirna gene examin was detect in __mice orofaci tissu from gd and among these express gene sever cluster were seen to be development regul differenti express of gene encod mirna within such cluster were shown to target gene encod protein involv in cell prolifer cell adhes differenti apoptosi and epitheli mesenchym transform all process critic for normal orofaci develop function relationship between mirna differenti express were investig use ingenu pathway analysi ipa ingenu system conclus use mirna microarray technolog uniqu gene express signatur of hundr of mirna in embryon orofaci tissu were defin gene target and function analysi reveal that the express of numer protein encod gene crucial to normal orofaci ontogeni may be regul by specif mirna time cours experi development stage icr __mice embryo on gestat day gd and biolog replic for each day of gestat independ pool of to stage embryo were use to procur embryon orofaci tissu for prepar of distinct pool of rna that were independ process and appli to individu mirxplor microrna microarray chip miltenyi biotec gmbh technolog color spot cdna hy5 experiment sampl vs hy3 control mirxplor univers refer gd gd gd defin pool of synthet microrna embryo other total rna first branchial arch deriv tissu includ primari and secondari palat tissu mirxplor univers refer icr mus musculus rattus norvegicus first branchial arch deriv tissu includ palat the presenc of vagin plug the follow morn was consid as evid of mate and the time design as gestat day gd on gd gd and gd which repres the critic period of palat develop in the __mice femal __mice were euthan by asphyxi and embryo were dissect from uteri in steril calcium magnesium free pbs extraembryon membran were remov from the embryo and first branchial arch deriv tissu includ primari and secondari palat tissu was excis excis tissu was minc and store at minus in prepprotect stabil buffer miltenyi biotec gmbh bergisch gladbach germani for subsequ shipment to miltenyi biotec for mirna express analysi for each day of gestat independ pool of to stage embryo were use to procur embryon orofaci tissu for prepar of distinct pool of rna that were independ process and appli to individu mirxplor microrna microarray chip miltenyi biotec gmbh
